"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","ST8SIA2",0.231979295488621
"68_3__batch1","day1_vs_control","CYFIP2",0.355741740507321
"68_3__batch1","day1_vs_control","MALAT1",-0.796658588741026
"68_3__batch1","day1_vs_control","GABRB3",-0.0856388791911069
"68_3__batch1","day1_vs_control","ATP6V1A",0.117306315228861
"68_3__batch1","day1_vs_control","MAP4",0.458666569381119
"68_3__batch1","day1_vs_control","MEIS2",0.18690447697597
"68_3__batch1","day1_vs_control","KIAA1109",-0.0635356326390912
"68_3__batch1","day1_vs_control","ATP5A1",0.252553296647521
"68_3__batch1","day1_vs_control","PTMS",0.832412795392182
"68_3__batch1","day1_vs_control","LONRF2",0.285342072160612
"68_3__batch1","day1_vs_control","CLSTN1",0.0231574866473157
"68_3__batch1","day1_vs_control","GNAO1",0.497346419355525
"68_3__batch1","day1_vs_control","MAP1A",1.09695865026154
"68_3__batch1","day1_vs_control","SLC9A6",-0.401292878007702
"68_3__batch1","day1_vs_control","PIK3R3",0.163875133542662
"68_3__batch1","day1_vs_control","SCN3A",-0.54616403303422
"68_3__batch1","day1_vs_control","DYNLL2",0.458618911508017
"68_3__batch1","day1_vs_control","ATP2B1",-0.451054824468011
"68_3__batch1","day1_vs_control","MSMO1",-0.758754335008945
"68_3__batch1","day1_vs_control","HNRNPA1",-0.136502856213703
"68_3__batch1","day1_vs_control","PDE4DIP",0.0978349019265163
"68_3__batch1","day1_vs_control","GOLM1",-0.303024414297706
"68_3__batch1","day1_vs_control","PRPF8",0.82498336826013
"68_3__batch1","day1_vs_control","EIF1",0.0468563504290689
"68_3__batch1","day1_vs_control","FHL1",-0.0173042698614232
"68_3__batch1","day1_vs_control","ZIC1",0.205519190358933
"68_3__batch1","day1_vs_control","SLC1A2",-0.280035089143412
"68_3__batch1","day1_vs_control","TSPYL4",0.578202594836943
"68_3__batch1","day1_vs_control","WHSC1L1",-0.14925975388242
"68_3__batch1","day1_vs_control","RAB6B",0.470784715494243
"68_3__batch1","day1_vs_control","PNMA2",0.0159066184687457
