"gene_id","symbol","mean_normalized_count","selected"
"ENSG00000115053.11","NCL",12499.6762027637,TRUE
"ENSG00000116675.11","DNAJC6",12488.7234189263,TRUE
"ENSG00000138443.11","ABI2",12436.4280274064,TRUE
"ENSG00000074696.8","PTPLAD1",12427.0778067907,TRUE
"ENSG00000155096.9","AZIN1",12409.2881028562,TRUE
"ENSG00000085224.16","ATRX",12396.8510043313,TRUE
"ENSG00000198216.6","CACNA1E",12383.7748689394,TRUE
"ENSG00000172915.14","NBEA",12381.6082255996,TRUE
"ENSG00000132932.12","ATP8A2",12378.8283178761,TRUE
"ENSG00000137267.5","TUBB2A",12350.7854189652,TRUE
"ENSG00000196776.10","CD47",12339.7602015473,TRUE
"ENSG00000196405.8","EVL",12316.6746589884,TRUE
"ENSG00000149187.13","CELF1",12244.0228855001,TRUE
"ENSG00000175216.10","CKAP5",12237.3192156278,TRUE
"ENSG00000075340.18","ADD2",12192.7139730962,TRUE
"ENSG00000135387.15","CAPRIN1",12164.276946443,TRUE
"ENSG00000170921.10","TANC2",12153.7818604088,TRUE
"ENSG00000100592.11","DAAM1",12134.4662138554,TRUE
"ENSG00000149485.12","FADS1",12088.8780696657,TRUE
"ENSG00000187514.10","PTMA",12052.6734023238,TRUE
"ENSG00000186472.15","PCLO",12004.8613807258,TRUE
"ENSG00000050165.13","DKK3",11992.9560978741,TRUE
"ENSG00000185630.14","PBX1",11965.2461045888,TRUE
"ENSG00000054965.6","FAM168A",11953.7098367947,TRUE
"ENSG00000155511.13","GRIA1",11939.3136666736,TRUE
"ENSG00000145730.16","PAM",11918.7252584048,TRUE
"ENSG00000102804.10","TSC22D1",11917.2562850051,TRUE
"ENSG00000175582.15","RAB6A",11909.7607729337,TRUE
"ENSG00000089280.14","FUS",11886.3306967827,TRUE
"ENSG00000171735.14","CAMTA1",11881.006574387,TRUE
"ENSG00000161203.9","AP2M1",11774.3283377389,TRUE
"ENSG00000128989.6","ARPP19",11773.1723871603,TRUE
"ENSG00000167654.13","ATCAY",11770.9800835638,TRUE
"ENSG00000079246.11","XRCC5",11767.9613974855,TRUE
"ENSG00000159140.13","SON",11764.419211987,TRUE
"ENSG00000091972.14","CD200",11749.9973248729,TRUE
"ENSG00000178662.11","CSRNP3",11715.979972001,TRUE
"ENSG00000108389.5","MTMR4",11682.1359631957,TRUE
"ENSG00000067445.16","TRO",11632.1818842216,TRUE
"ENSG00000111716.8","LDHB",11581.6181458444,TRUE
"ENSG00000147416.6","ATP6V1B2",11556.0159556941,TRUE
"ENSG00000109685.13","WHSC1",11552.0131814711,TRUE
"ENSG00000009694.9","TENM1",11523.9219034473,TRUE
"ENSG00000140391.10","TSPAN3",11517.7670095441,TRUE
"ENSG00000065609.10","SNAP91",11504.6739463679,TRUE
"ENSG00000099204.14","ABLIM1",11486.8950698287,TRUE
"ENSG00000071575.7","TRIB2",11477.7769792085,TRUE
"ENSG00000139910.15","NOVA1",11463.5518779182,TRUE
"ENSG00000224078.8","SNHG14",11452.8338018079,TRUE
"ENSG00000108828.11","VAT1",11365.9524724631,TRUE
"ENSG00000169213.6","RAB3B",11361.1814747454,TRUE
"ENSG00000204217.8","BMPR2",11351.5241799956,TRUE
"ENSG00000198794.7","SCAMP5",11333.8143782711,TRUE
"ENSG00000079459.8","FDFT1",11306.2381825458,TRUE
"ENSG00000141424.8","SLC39A6",11295.9018260232,TRUE
"ENSG00000085365.13","SCAMP1",11280.8407311366,TRUE
"ENSG00000106537.7","TSPAN13",11270.5565280149,TRUE
"ENSG00000116754.9","SRSF11",11262.4850452822,TRUE
"ENSG00000166501.8","PRKCB",11240.3674952937,TRUE
"ENSG00000156052.6","GNAQ",11206.5714755355,TRUE
"ENSG00000134294.9","SLC38A2",11160.6450523164,TRUE
"ENSG00000123983.9","ACSL3",11155.9307384761,TRUE
"ENSG00000181191.11","PJA1",11139.1347994109,TRUE
"ENSG00000173064.6","HECTD4",11133.2485819931,TRUE
"ENSG00000008294.16","SPAG9",11130.1629494718,TRUE
"ENSG00000111530.8","CAND1",11126.0146287083,TRUE
"ENSG00000092841.14","MYL6",11101.2771558646,TRUE
"ENSG00000160007.13","ARHGAP35",11084.4128247076,TRUE
"ENSG00000153707.11","PTPRD",11073.6178519271,TRUE
"ENSG00000089737.11","DDX24",11065.5518796482,TRUE
"ENSG00000105223.14","PLD3",11044.3896200442,TRUE
"ENSG00000227051.4","C14orf132",11043.2751792573,TRUE
"ENSG00000122406.8","RPL5",11017.3278892406,TRUE
"ENSG00000116001.11","TIA1",10994.5646248882,TRUE
"ENSG00000127481.10","UBR4",10907.5746720394,TRUE
"ENSG00000133030.15","MPRIP",10903.0662826003,TRUE
"ENSG00000230989.2","HSBP1",10890.8028687737,TRUE
"ENSG00000197756.5","RPL37A",10853.4066316286,TRUE
"ENSG00000139182.9","CLSTN3",10839.5779748589,TRUE
"ENSG00000135829.12","DHX9",10838.8672263575,TRUE
"ENSG00000077147.10","TM9SF3",10825.8623184613,TRUE
"ENSG00000125814.13","NAPB",10823.5841911101,TRUE
"ENSG00000253352.4","TUG1",10801.0626280624,TRUE
"ENSG00000089199.5","CHGB",10800.1881034936,TRUE
"ENSG00000171867.12","PRNP",10799.6563604766,TRUE
"ENSG00000172260.9","NEGR1",10737.1632149466,TRUE
"ENSG00000166974.8","MAPRE2",10736.3564182032,TRUE
"ENSG00000165152.4","TMEM246",10726.4135791007,TRUE
"ENSG00000092096.10","SLC22A17",10654.3048630356,TRUE
"ENSG00000169855.15","ROBO1",10620.5625104768,TRUE
"ENSG00000073464.7","CLCN4",10601.9538415489,TRUE
"ENSG00000167378.4","IRGQ",10592.3380890471,TRUE
"ENSG00000089220.4","PEBP1",10577.7540977872,TRUE
"ENSG00000135720.8","DYNC1LI2",10571.5288903218,TRUE
"ENSG00000104112.4","SCG3",10558.2439677103,TRUE
"ENSG00000173482.12","PTPRM",10556.9460791301,TRUE
"ENSG00000253719.2","ATXN7L3B",10535.0070242588,TRUE
"ENSG00000127914.12","AKAP9",10496.125444856,TRUE
"ENSG00000015592.12","STMN4",10495.7737339987,TRUE
"ENSG00000067225.13","PKM",10495.568942218,TRUE
"ENSG00000108175.12","ZMIZ1",10491.2004842999,TRUE
"ENSG00000137817.12","PARP6",10462.9525112712,TRUE
"ENSG00000175426.6","PCSK1",10427.8064136815,TRUE
"ENSG00000137726.11","FXYD6",10416.9773869043,TRUE
"ENSG00000118432.11","CNR1",10390.36685147,TRUE
"ENSG00000130396.16","MLLT4",10335.6711248523,TRUE
"ENSG00000118946.7","PCDH17",10325.285267658,TRUE
"ENSG00000110076.14","NRXN2",10315.7052403958,TRUE
"ENSG00000117523.11","PRRC2C",10301.1810899775,TRUE
"ENSG00000087086.9","FTL",10260.5736073072,TRUE
"ENSG00000168243.6","GNG4",10253.9555184857,TRUE
"ENSG00000116133.7","DHCR24",10241.351158168,TRUE
"ENSG00000139116.13","KIF21A",10230.0363105005,TRUE
"ENSG00000170017.8","ALCAM",10210.2621212294,TRUE
"ENSG00000168036.12","CTNNB1",10209.2549465648,TRUE
"ENSG00000129625.8","REEP5",10204.580832668,TRUE
"ENSG00000101350.6","KIF3B",10204.0814537471,TRUE
"ENSG00000136040.4","PLXNC1",10127.5054625838,TRUE
"ENSG00000152102.13","FAM168B",10115.9961376584,TRUE
"ENSG00000162738.5","VANGL2",10107.2155145667,TRUE
"ENSG00000145284.7","SCD5",10104.8999286165,TRUE
"ENSG00000003756.12","RBM5",10104.3835505308,TRUE
"ENSG00000044574.7","HSPA5",10086.4032322642,TRUE
"ENSG00000160551.5","TAOK1",10082.5128611776,TRUE
"ENSG00000120438.7","TCP1",10054.7760047045,TRUE
"ENSG00000167986.9","DDB1",10034.6997678073,TRUE
"ENSG00000101489.14","CELF4",10030.3500543378,TRUE
"ENSG00000103160.7","HSDL1",10029.0612527135,TRUE
"ENSG00000179010.10","MRFAP1",10024.2954980079,TRUE
"ENSG00000100664.6","EIF5",10014.9732012884,TRUE
"ENSG00000120875.4","DUSP4",10014.3865542647,TRUE
"ENSG00000136485.10","DCAF7",10006.3882835736,TRUE
"ENSG00000196591.7","HDAC2",10004.9477358027,TRUE
"ENSG00000153815.12","CMIP",10002.4705879286,TRUE
"ENSG00000182013.13","PNMAL1",9987.43981607217,TRUE
"ENSG00000132475.4","H3F3B",9930.7630818401,TRUE
"ENSG00000101290.9","CDS2",9929.93862649089,TRUE
"ENSG00000072364.8","AFF4",9926.71433903322,TRUE
"ENSG00000122778.5","KIAA1549",9907.43896643253,TRUE
"ENSG00000166681.9","NGFRAP1",9894.92538025071,TRUE
"ENSG00000148730.6","EIF4EBP2",9851.74301246359,TRUE
"ENSG00000029993.10","HMGB3",9847.39596257544,TRUE
