pathway,pval,log2err,ES,NES,size,leadingEdge,tier,variant,contrast,rank_kind,fgsea_internal_padj,ranked_genes,rank_ties,family_fdr
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.35006598579723e-23,1.24623277191648,0.585979434990366,2.83268983828118,182.0,HSD17B10;SLC25A11;UQCR10;GPX4;COX6B1;POLR2F;COX8A;COX4I1;TIMM13;CYC1;NDUFS6;TOMM22;ECHS1;GPI;NDUFA8;MRPL11;OGDH;ATP6V1F;MFN2;UQCRC1;SLC25A6;ETFB;SLC25A5;IDH2;ACO2;NDUFB2;MDH2;ECH1;BAX;ACAA1;NDUFV1;NDUFA3;MRPS12;CYB5R3;GRPEL1;NDUFA2;TIMM8B;NDUFS3;UQCR11;IDH3G;COX5B;TIMM10;NDUFA1;COX7C;UQCRFS1;NDUFS8;COX6C;NDUFAB1;MRPS11;SLC25A4;IDH3B;COX10;ECI1;NDUFB6;COX17;PHB2;UQCRQ;NDUFB8;TIMM50;RHOT2;MRPS15;VDAC1;NDUFB7;ATP6V1E1;COX7B;GOT2;UQCRH;SDHC;COX5A;IMMT;LDHA;SDHB;ALDH6A1;PDHB;COX7A2;MTX2;NDUFS7;COX7A2L;MRPL15;ATP6V1G1;ATP6V1H;LDHB;ATP6V0B;NDUFA6;NDUFS4;MRPL35;FH;NDUFS2;MRPL34;NQO2;CS;PHYH;PDHA1;SDHA;ALAS1;UQCRC2;NDUFA5;SUCLA2;NDUFB1;DLST;AFG3L2;NDUFA4;MGST3;SLC25A3;IDH1;ATP6V1D;TIMM17A;VDAC3;CYCS;MDH1;NDUFC1;ISCA1;UQCRB;NDUFB3;NDUFB4;NDUFA9;PRDX3;NDUFC2;AIFM1;ACADVL;DLAT;ATP6V0C;HTRA2;PDP1;COX6A1;VDAC2;FXN,primary,omit_68_3__batch1,day3_vs_control,Wald,5.6550857815364e-22,21098,0,6.52509897869584e-22
HALLMARK_GLYCOLYSIS,0.061576354679803,0.078777842678775,0.258473364823747,1.25113537217944,184.0,TPI1;PKM;ALDOA;PGLS;B4GALT2;TALDO1;ENO1;SLC25A10;GYS1;DPYSL4;STMN1;PGAM1;G6PD;MDH2;MED24;CLN6;GAL3ST1;PRPS1;ENO2;MPI;PYGB;PPIA;PC;POLR3K;TXN;B4GALT7;CAPN5;PGK1;ARTN;GOT2;SOD1;SDC3;FKBP4;SDHC;RBCK1;PGM2;B3GAT1;B3GALT6;AGRN;LDHA;PFKP;EFNA3;SLC25A13;GALE;PSMC4;CITED2;CACNA1H;GPC1;GOT1,primary,omit_68_3__batch1,day3_vs_control,Wald,0.0667077175697865,21098,0,0.0769704433497537
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5.58059252574557e-08,0.719512826338911,0.652418516192199,2.43383812320394,42.0,PRDX2;GPX4;HMOX2;ATOX1;PDLIM1;CDKN2D;SBNO2;TXNRD2;G6PD;STK25;MSRA;FTL;TXN;ERCC2;SOD1;EGLN2;LAMTOR5;PRDX1;PFKP;NQO1;MGST1;NDUFA6;GSR;NDUFS2;GLRX2,primary,omit_68_3__batch1,day3_vs_control,Wald,1.45095405669385e-07,21098,0,2.79029626287279e-07
HALLMARK_MTORC1_SIGNALING,0.0295556028067191,0.121736367223309,-0.268549614100753,-1.31688725549418,189.0,SLC7A11;MTHFD2;PHGDH;SLC1A5;XBP1;PSAT1;DDIT3;SHMT2;BTG2;TUBA4A;TFRC;VLDLR;EDEM1;PLOD2;IGFBP5;SCD;AURKA;BHLHE40;ELOVL5;UFM1;CANX;P4HA1;ASNS;FADS1;IFRD1;CD9;SLC1A4;STC1;SLC7A5;USO1;SLC2A3;SYTL2;ADD3,primary,omit_68_3__batch1,day3_vs_control,Wald,0.0384222836487349,21098,0,0.0443334042100787
HALLMARK_PI3K_AKT_MTOR_SIGNALING,6.10773098940969e-05,0.538434096309916,0.424908073913951,1.86667477291721,96.0,HRAS;ECSIT;PPP1CA;ARHGDIA;CFL1;AP2M1;TRAF2;PFN1;CALR;NFKBIB;AKT1;SQSTM1;RALB;SLA;MKNK2;PIN1;TSC2;AKT1S1;PIK3R3;RPS6KA1;GRB2;RPTOR;PAK4;MAPKAP1;UBE2N;MAP2K3;CAMK4;CAB39L;RAC1;PRKAG1,primary,omit_68_3__batch1,day3_vs_control,Wald,9.92506285779074e-05,21098,0,0.0001832319296822
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0005262532999968,0.477270815362862,-0.380314609336148,-1.60570219421234,182.0,RHOT2;NDUFS7;TIMM13;ATP6V0C;TCIRG1;GPX4;NDUFS8;ECH1;CYB5R3;CYC1;COX8A;POR;MRPS12;ECI1;NDUFV1;NDUFB7;SLC25A6;OGDH;ETFB;NDUFS6;MRPS15;COX5B;NDUFV2;MDH2;ATP6V0B;NDUFB2;UQCRQ;PMPCA;NDUFA2;ACAA1;UQCRC1;MRPL15;NDUFA3;COX17;ATP6V1F;MRPL34;IDH2;ACO2;BAX;COX6A1;HSD17B10;MPC1;POLR2F;COX10;IDH3G;SLC25A11;HTRA2;TIMM50;CYCS;SLC25A3;SDHB;UQCR11;NDUFAB1;SURF1;SLC25A20,primary,omit_68_3__batch1,day3_vs_day1,Wald,0.002280430966653,21098,0,0.0009867249374941
HALLMARK_GLYCOLYSIS,2.25401875550331e-05,0.575610261071129,-0.411728855396294,-1.74074637800895,184.0,SPAG4;ALDOA;COL5A1;CHPF2;GPC1;AGRN;IER3;CACNA1H;GAL3ST1;SLC25A10;STC2;B4GALT7;PLOD1;CLN6;FKBP4;PSMC4;DPYSL4;GYS1;HSPA5;CHPF;IDUA;XYLT2;PGLS;KDELR3;ARTN;CD44;VEGFA;B3GALT6;B3GAT3;IL13RA1;GALK1;ENO1;PMM2;PC;CHST1;LHPP;GMPPB;NOL3;GALE;SLC16A3;ME1;ANGPTL4;MDH2;RBCK1;IGFBP3;CHST12;ISG20;ELF3;QSOX1;MIF;PAM;TGFBI;CLDN9;AURKA;G6PD;TGFA;MPI;B4GALT2;EXT1;HAX1;CITED2;PFKP;SDC1;AK4;ALG1;GUSB;TALDO1;TPST1;PYGB;PDK3,primary,omit_68_3__batch1,day3_vs_day1,Wald,0.0001465112191077,21098,0,8.45257033313741e-05
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.13740676993689,0.0443353901052009,-0.377244891000129,-1.27260761152685,42.0,JUNB;SBNO2;GPX4;TXNRD2;PRDX4;STK25;PRDX2;GPX3;HMOX2;GLRX2;G6PD;PFKP;ERCC2;MSRA,primary,omit_68_3__batch1,day3_vs_day1,Wald,0.198476445464397,21098,0,0.13740676993689
HALLMARK_MTORC1_SIGNALING,0.0365711623573259,0.080193537050732,-0.312640562373536,-1.32501576190308,189.0,SERPINH1;ALDOA;CALR;CORO1A;FKBP2;XBP1;PPP1R15A;TOMM40;SHMT2;SLC7A5;DDX39A;PFKL;HSP90B1;PHGDH;GLA;PSMC4;SQSTM1;NFKBIB;HSPA5;SDF2L1;GAPDH;BTG2;CYP51A1;FDXR;STIP1;RRP9;HSPE1;CDKN1A;SLC1A5;RPN1;ENO1,primary,omit_68_3__batch1,day3_vs_day1,Wald,0.0950850221290473,21098,0,0.0498697668508989
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.133504163997438,0.0423120234220655,-0.316355526242584,-1.22978634732363,96.0,ARHGDIA;CALR;ECSIT;RPTOR;HRAS;HSP90B1;ARF1;SQSTM1;NFKBIB;PIN1;MKNK2;CDKN1A;TRAF2;AKT1;PAK4;AKT1S1;TSC2;MYD88;FGF17;NGF;PPP1CA;DDIT3,primary,omit_68_3__batch1,day3_vs_day1,Wald,0.198476445464397,21098,0,0.13740676993689
