"pathway","pval","log2err","ES","NES","size","leadingEdge","tier","variant","contrast","rank_kind","fgsea_internal_padj","ranked_genes","rank_ties","family_fdr"
"REACTOME_AUTOPHAGY",0.000149441577709028,0.518848077743792,0.394595450645838,1.7357209809377,144,"MAP1LC3A;TOMM40;HSF1;SQSTM1;MLST8;VPS37B;LAMTOR1;HSPA8;CHMP6;LAMTOR2;MFN2;ATG4D;VPS28;LAMTOR4;VPS37C;DYNLL1;RPTOR;CHMP2A;PINK1;PGAM5;TSC2;AMBRA1;UBB;UBA52;TUBB3;MVB12B;VPS37D;HSP90AB1;UBAP1;PARK7;WDR45B;MTMR14;UBC;UBE2L3;GABARAP;WIPI1;TOMM22;MAP1LC3C;TUBA8;HDAC6;SRC;ATG9A;ATG4B;LAMTOR5;CHMP4B;MVB12A;ULK1;WDR45;CHMP7;VCP;PEX5;CSNK2B;ATG16L2;RRAGA;TOMM7;TUBB4B;RHEB;DYNLL2;TUBB4A;ATG9B;TUBA1B;VDAC1;TSG101;BECN1","secondary","one_library_per_group","day1_vs_control","Wald",0.000324649981769524,21098,1,0.00057998202503098
"REACTOME_MITOPHAGY",0.00600831921121553,0.232056818075608,0.488716939384233,1.68223904371894,35,"MAP1LC3A;TOMM40;SQSTM1;MFN2;PINK1;PGAM5;UBB;UBA52;UBC;UBE2L3;TOMM22;SRC;ATG9A;ULK1;CSNK2B;TOMM7","secondary","one_library_per_group","day1_vs_control","Wald",0.00781081497458019,21098,1,0.0126174703435526
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0.402386117136659,0.0345671218497702,-0.293702122612596,-1.03510853742396,25,"HERPUD1;ASNS;ATF6;CCL2;DCP2;EXOSC8;EXOSC3;DIS3;NFYB;CEBPG","secondary","one_library_per_group","day1_vs_control","Wald",0.435918293564714,21098,1,0.563340563991323
"REACTOME_SIGNALING_BY_NTRK2_TRKB",0.75422378068218,0.0152239853572433,0.251574003660611,0.79669834148527,24,"HRAS;FRS3;BDNF;CDK5","secondary","one_library_per_group","day1_vs_control","Wald",0.75422378068218,21098,1,0.931688199666223
"HALLMARK_FATTY_ACID_METABOLISM",0.000199238957226942,0.518848077743792,0.391212636653254,1.7106676808138,139,"ODC1;ALDOA;NTHL1;MGLL;TP53INP2;HSD17B10;MDH2;GPD1;FASN;PCBD1;ECHS1;ECI1;S100A10;NCAPH2;ACADS;ECH1;ACO2;IDH3B;CRAT;ACAA1;GRHPR;IDH3G;CBR1;CEL;GSTZ1;G0S2;PDHA1;BLVRA;ENO2;D2HGDH;UBE2L6;ADSL;UROD;MIF;GCDH;REEP6;YWHAH;LGALS1;ACAT2;HMGCL;UROS;APEX1;SDHA;ERP29;ACADVL;ACOT8;NSDHL;DLST;EPHX1;CD1D;PTS;ACOT2;SMS","secondary","one_library_per_group","day1_vs_control","Wald",0.000370015206278606,21098,1,0.000597716871680825
"HALLMARK_DNA_REPAIR",1.33012685346642e-08,0.747739663149885,0.478444618313991,2.10114578030608,143,"POLR2E;GPX4;GUK1;EDF1;ADRM1;ITPA;ALYREF;VPS37B;NME3;POLR2I;SAC3D1;APRT;POLR2F;MPG;VPS28;TAF6;AK1;TARBP2;POLR2J;SUPT5H;NELFB;MRPL40;POLD1;IMPDH2;ZNF707;SNAPC4;COX17;NT5C;ERCC2;RFC2;BCAP31;GTF3C5;VPS37D;POLE4;POLR2G;POLL;GTF2F1;LIG1;ELL;NME1;TAF10;USP11;SURF1;DGUOK;BRF2;BCAM;ERCC1;POLR2H;NME4;NELFE;TAF1C;POLR2C;NPR2;DGCR8;POLR2A;AAAS;POM121;SSRP1;TP53","exploratory","one_library_per_group","day1_vs_control","Wald",5.76388303168781e-08,21098,1,3.99038056039926e-08
"REACTOME_TELOMERE_MAINTENANCE",0.00121199357654957,0.45505986738723,0.455876268259636,1.7594489351313,62,"POLR2E;POLR2L;POLR2I;POLR2F;RUVBL2;NHP2;ACD;POLR2J;NOP10;POLD1;POLD2;RFC2;TINF2;POLR2G;DAXX;LIG1;CHTF8;POLR2H;CHTF18;POLR2C;WRAP53;POLR2A;RUVBL1;CCNA1;TERF2;RPA2;POLD4","exploratory","one_library_per_group","day1_vs_control","Wald",0.00175065738834938,21098,1,0.00181799036482435
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING",,,,,,,"secondary","one_library_per_group","day1_vs_control","Wald",,21098,1,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.11118725997129e-19,1.14219120216838,0.540044068181308,2.7361573039925,182,"COX6B1;SLC25A11;HSD17B10;UQCR10;TIMM10;NDUFS6;ATP6V1F;GPI;POLR2F;IDH3B;COX8A;COX4I1;NDUFA8;CYC1;GPX4;ECHS1;SLC25A5;MRPS12;UQCRC1;MFN2;OGDH;TOMM22;MRPL11;TIMM8B;MDH2;NDUFA2;NDUFV1;SLC25A6;NDUFA3;IDH3G;COX7C;PHB2;UQCRFS1;MRPS15;BAX;ACAA1;NDUFA1;UQCR11;COX6C;RHOT2;TIMM13;UQCRH;NDUFB7;ACADVL;TIMM50;NDUFS3;IDH2;CYB5R3;ECH1;NDUFB2;PDHB;SLC25A4;ALAS1;ECI1;PDHA1;UQCRQ;NDUFS2;MGST3;SURF1;NDUFB8;COX5B;ATP6V0B;NDUFS8;GOT2;COX7A2;PHYH;COX7A2L;NDUFAB1;SDHB;ACO2;MRPS11;ATP6V1G1;LDHA;NDUFB6;NDUFC1;COX5A;NDUFS4;ETFB;SDHC;NDUFA4;NDUFB4;COX7B;NDUFB3;NDUFB1;ATP6V1E1;COX17;PMPCA;ATP6AP1;TIMM9;SDHA;ATP6V0C;HTRA2;NDUFA6","primary","one_library_per_group","day3_vs_control","Wald",1.37227171898134e-18,21098,1,3.16678088995693e-18
"HALLMARK_GLYCOLYSIS",0.0228661197416652,0.12546307449004,0.269402773120949,1.36591316304228,184,"TPI1;ALDOA;G6PD;PKM;PGLS;B4GALT2;TALDO1;GYS1;MPI;ENO2;PGAM1;MDH2;EFNA3;GALE;B4GALT7;NDUFV3;SOD1;PYGB;STMN1;RBCK1;SLC25A10;PPIA;CAPN5;FKBP4;POLR3K;ENO1;NSDHL;DPYSL4;GAL3ST1;ELF3;B3GAT3;MED24;PSMC4;GOT1;B3GAT1;TXN;GOT2;QSOX1;HAX1;PC;PKP2;SDC3;GPC1;PRPS1;CHST1;LDHA;CLN6;PFKP;GUSB;B3GALT6;SDHC;CTH;LHPP;AGRN;GPC3;CASP6;IER3","primary","one_library_per_group","day3_vs_control","Wald",0.0270235960583316,21098,1,0.031181072374998
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.46517471070296e-07,0.690132458796796,0.623734074879494,2.42267750659629,42,"FTL;PRDX2;G6PD;ATOX1;GPX4;PDLIM1;MSRA;EGLN2;HMOX2;CDKN2D;TXNRD2;SOD1;ERCC2;STK25;NDUFS2;SBNO2;GSR;TXN;LAMTOR5;PFKP;PRDX1;NDUFB4;NQO1","primary","one_library_per_group","day3_vs_control","Wald",4.76181780978463e-07,21098,1,7.32587355351482e-07
"HALLMARK_MTORC1_SIGNALING",0.154732797764583,0.0462857931634898,0.227236266044028,1.15626093805659,189,"PSMB5;TPI1;GPI;ALDOA;G6PD;PDAP1;CALR;GAPDH;RRP9;TOMM40;NFKBIB;CYB5B;MAP2K3;DDX39A;FKBP2;ACLY;SQSTM1;PPIA;ABCF2;TMEM97;ENO1;NFYC;QDPR;CORO1A;TM7SF2;CDC25A;TUBG1;PSMD13;HMBS;PIK3R3;IDI1;LDLR;PSMC4;EBP;GOT1;MLLT11;GSR;INSIG1;STIP1;PGM1;LDHA;DHCR7;RPA1;SLA;DHCR24;ARPC5L;MCM2;PFKL;PRDX1;CTH;YKT6;TES;HMGCS1;EEF1E1;TRIB3;FADS2;GBE1;STARD4","primary","one_library_per_group","day3_vs_control","Wald",0.167627197578298,21098,1,0.154732797764583
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00034192389639075,0.49849310876659,0.388017978160539,1.77982999551592,96,"CFL1;HRAS;PPP1CA;ECSIT;PFN1;AP2M1;CALR;PAK4;AKT1;NFKBIB;MAP2K3;SQSTM1;ARHGDIA;TRAF2;GRB2;MKNK2;TSC2;GNA14;PIK3R3;PIN1;E2F1;RPS6KA1;ARF1;AKT1S1;SLA;THEM4;RALB;CDK4;TRIB3;DUSP3;MAPKAP1;PRKCB;FGF17","primary","one_library_per_group","day3_vs_control","Wald",0.000555626331634969,21098,1,0.000641107305732656
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.56565503309196e-22,1.22950405660873,0.606148221657888,2.96700990134546,145,"COX6B1;COA3;SLC25A11;UQCR10;NDUFS6;ECSIT;COX8A;COX4I1;NDUFA8;CYC1;PNKD;NDUFB11;UQCRC1;SMIM20;MDH2;NDUFA2;NDUFV1;NDUFA3;LYRM4;NDUFS5;COX7C;SLC25A22;UQCRFS1;NDUFV3;NDUFB10;PET100;NDUFA1;BCS1L;COX16;SCO2;UQCR11;COX6C;UQCRH;NDUFB7;NDUFS3;SFXN4;UQCC2;HIGD2A;COX14;NDUFB2;NDUFB9;TACO1;UQCRQ;NDUFS2;SURF1;NDUFB8;NDUFA11;GOT1;COX5B;NDUFS8;GOT2;LETM1;COX7A2;NDUFAF3;COX7A2L;NDUFAB1;SDHB;PET117;NDUFB6;NDUFC1;NDUFA13;COX5A;ACAD9;TRAP1;NDUFS4;TMEM177;ETFB;SDHC;NDUFA4;NDUFA12;NDUFB4;COX7B;NDUFB3;NDUFB1;TMEM186;COX17;NDUFAF6;SDHA;NDUFA6;TMEM126A","secondary","one_library_per_group","day3_vs_control","Wald",2.03535154301955e-21,21098,1,3.28787556949312e-21
"REACTOME_AUTOPHAGY",9.58821146020335e-06,0.593325476396405,0.385606902171964,1.88635141072566,144,"UBB;UBA52;LAMTOR2;MAP1LC3A;LAMTOR1;UBC;TUBA1B;MFN2;CHMP6;PARK7;TOMM40;CHMP2A;TOMM22;TOMM7;DYNLL1;TUBA8;PGAM5;PINK1;EEF1A1;LAMTOR4;TUBB4B;SQSTM1;TUBB4A;SRC;AMBRA1;MLST8;GABARAP;VPS28;UBE2L3;DYNLL2;VCP;TUBA1A;WDR45;TUBB2A;TSC2;MVB12B;HSF1;CHMP4B;PEX5;RRAGA;WIPI1;MTMR14;LAMTOR5;UBAP1;HDAC6;VPS37B;TUBB2B","secondary","one_library_per_group","day3_vs_control","Wald",2.49293497965287e-05,21098,1,6.71174802214234e-05
