symbol,gene_id,tested_module_membership,curated_NRF2_context_member,primary__day1_vs_control__log2FoldChange,primary__day1_vs_control__lfcSE,primary__day1_vs_control__stat,primary__day1_vs_control__pvalue,primary__day1_vs_control__padj,RIN_ge6__day1_vs_control__log2FoldChange,RIN_ge6__day1_vs_control__lfcSE,RIN_ge6__day1_vs_control__stat,RIN_ge6__day1_vs_control__pvalue,RIN_ge6__day1_vs_control__padj,68_3__batch1__day1_vs_control__log2_normalized_ratio,68_3__batch2__day1_vs_control__log2_normalized_ratio,69_2__batch1__day1_vs_control__log2_normalized_ratio,primary__day3_vs_control__log2FoldChange,primary__day3_vs_control__lfcSE,primary__day3_vs_control__stat,primary__day3_vs_control__pvalue,primary__day3_vs_control__padj,RIN_ge6__day3_vs_control__log2FoldChange,RIN_ge6__day3_vs_control__lfcSE,RIN_ge6__day3_vs_control__stat,RIN_ge6__day3_vs_control__pvalue,RIN_ge6__day3_vs_control__padj,68_3__batch1__day3_vs_control__log2_normalized_ratio,68_3__batch2__day3_vs_control__log2_normalized_ratio,69_2__batch1__day3_vs_control__log2_normalized_ratio
PGM2,ENSG00000169299.9,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.380081259811612,0.261337217761757,1.45437095820812,0.145843487173172,0.353997029562517,0.591259901279491,0.212086700781106,2.78782167435255,0.0053063744183774,0.0463847291100644,0.424848799083612,0.907536646769439,-0.140655947383211,0.232520830378635,0.260180422739716,0.893690724037483,0.371487389775265,0.839577376421577,0.237938465181648,0.208715625243723,1.14001270821866,0.254281006722058,0.597513288814401,0.0285774449539549,0.756654435107038,-0.0245555920346163
PPARGC1A,ENSG00000109819.4,,False,0.987381291113545,0.333752676664425,2.95842208961912,0.0030921839659949,0.0258341467680317,1.1467310790964,0.232998320820506,4.9216280832333,8.58272022691016e-07,7.62852368403603e-05,1.52987850233741,1.69039714924297,-0.554413420093617,0.255062450438253,0.334149219178243,0.763319007793929,0.445273168884935,0.87418606187679,0.260329117740796,0.233320963540203,1.11575536887383,0.26452686282621,0.608435356586677,0.139204205042603,0.598008037923032,0.0997763945789991
PRDX1,ENSG00000117450.9,,True,0.324496008131826,0.186851293242625,1.73665379832545,0.0824482974194778,0.246105148391388,0.291524090552014,0.147942764790764,1.97051941650758,0.0487788719414862,0.195503648550625,0.461740492580187,0.330324479011116,0.184848325856196,0.201390353394652,0.18672780129187,1.07852366921979,0.280800124751964,0.784363773542936,0.199474825422159,0.147511833869478,1.35226320620933,0.176291130304637,0.497699528955597,0.154321305803849,0.542622178307003,-0.104764892211573
PRDX2,ENSG00000167815.7,,False,1.26969052083975,0.268502534891475,4.72878411130436,2.25868395347827e-06,0.0001483857153785,0.629660081176401,0.203542395618286,3.09350825543605,0.0019780504965542,0.0236538610537638,1.43212479141585,0.623385117065965,1.66807214433976,1.01032769689905,0.268481679690892,3.76311597149666,0.0001678093345008,0.0748662385914211,0.935686361860282,0.203022048088984,4.60879185619374,4.05015541859567e-06,0.0010984229195509,1.59319089501346,0.913034638715217,0.421222551391024
PRDX3,ENSG00000165672.5,,False,-0.061395773034079,0.180559801102384,-0.340030132173579,0.733833836277946,0.874860289259675,0.0147107850458595,0.140035555988194,0.105050356261661,0.916335851217071,0.968288555704377,0.126819923709093,-0.0881822025111525,-0.22986129965347,0.0911663814050976,0.180204208619472,0.505905950274495,0.612922674970862,0.92875417998948,0.0941802449703113,0.139188667707418,0.676637304757334,0.498636104035045,0.797676946401498,0.0187317085888452,0.330036752101805,-0.0812481998822179
PRPS1,ENSG00000147224.6,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.31044589853743,0.180369996408726,1.72116152751895,0.0852215169412894,0.251152963134026,0.33768716635732,0.140183333163435,2.40889668362802,0.0160008269207362,0.0948393086806539,0.411273251997457,0.382051708810689,0.146102562069396,0.282733080920498,0.180024843170504,1.57052257866831,0.116293585798712,0.58598148695312,0.282779555469387,0.139374731637923,2.02891551536049,0.0424668961756904,0.219810056159749,0.2023510158003,0.576664269351532,0.0716241318641728
PRPS1L1,,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPS2,ENSG00000101911.8,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,-0.511961198386865,0.256430272149725,-1.99649282471587,0.0458803060013349,0.167134836086144,-0.380743325075196,0.223040513659325,-1.70705903976149,0.0878110793166629,0.282162860158584,-0.626580435058365,-0.135759918526117,-0.730779191971089,-0.374722239374189,0.251828420001655,-1.48800615661936,0.136749270009621,0.617458710305981,-0.378684369247625,0.212834957170922,-1.77923953039121,0.0752005000300667,0.309793841798643,-0.484420830290865,-0.270075121276053,-0.345633157638999
RBKS,ENSG00000171174.9,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.104218843745763,0.255382995161308,0.408088422958371,0.68320875915348,0.845329478337294,0.043076391957961,0.220280713372758,0.195552262830507,0.84496062750381,0.938764574030186,-0.392636945051716,0.0400630298762827,0.733908283619811,-0.0299164527749321,0.254140592308277,-0.117716152713782,0.906292567754607,0.992112921646971,-0.0324306658239265,0.212156886328904,-0.152861716558423,0.878507326788043,0.969338144207006,-0.0798038060647492,-0.0633865299785681,0.101759500442803
RPE,ENSG00000197713.10,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,-0.294108462284783,0.185919953181518,-1.5819090810422,0.113670327561677,0.302577338522677,-0.0698456988223231,0.139946769545933,-0.499087610588956,0.617717665276538,0.818777745201901,-0.266804259377595,-0.0324081908922977,-0.583543513577562,-0.210797701640932,0.185192741374435,-1.13826114391129,0.255011453794583,0.763385472113495,-0.210077458470096,0.1383787502247,-1.51813380399066,0.128980670910885,0.419470292230979,-0.302471711449975,-0.0764359768613705,-0.244898037295794
RPEL1,,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,,,,,,,,,,,,,,,,,,,,,,,,,,
RPIA,ENSG00000153574.8,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.0251814384140983,0.206519094934425,0.121932736641588,0.902952288966983,0.960711311027442,-0.0633464203858502,0.175127015961386,-0.361717008869822,0.717563515300913,0.875792989295377,-0.0967897590103082,0.165147600018834,0.0280950121300343,0.0920331145590829,0.205226498760613,0.448446546205689,0.653830955685589,0.939132011422451,0.0888101130824864,0.171037173338198,0.51924450895174,0.603590244437046,0.854045181063906,-0.208287463104718,0.493271867019432,-0.0033632146809381
SHPK,ENSG00000197417.7,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.34509998189181,0.303170408443368,1.13830364798375,0.254993711254778,0.49717967313011,0.308854389347736,0.278916179281553,1.10733766016478,0.268147967660734,0.540953497722996,0.515552642783886,0.11933767372108,0.35367135620202,0.267402477697301,0.300226529493388,0.89066904962904,0.373106743626033,0.840288069473866,0.274004935230969,0.266223497142044,1.02922896803798,0.303372092927741,0.647254992818299,0.558203550020416,0.262789680999338,-0.124164781346213
SIRT1,ENSG00000096717.7,,False,-0.0484333727636918,0.194465151129711,-0.249059394355886,0.803314838484793,0.914014538433386,0.132915529334072,0.146807255978467,0.905374386628183,0.365267080308365,0.635655774104509,0.0626676085800817,0.239719052987498,-0.428072084003173,-0.0085378721808461,0.193985231397883,-0.044013000986318,0.964894040622089,0.99688714736432,2.18270379669506e-05,0.145694631212302,0.0001498136052463,0.999880466037823,0.999880466037823,-0.0797972765739541,0.33627494765688,-0.256046703199134
SLC7A11,ENSG00000151012.9,,True,-2.3353697057311,0.320673491286756,-7.28270271533841,3.27197737249605e-13,5.76795077814846e-10,-2.01885489246414,0.60437716749112,-3.3403890832686,0.0008366109132903,0.0129111963967704,-2.81019467021825,-2.6322077195993,-1.50454336174929,-1.58816586912157,0.315889264021092,-5.02760318253654,4.96648264582437e-07,0.0046253124860949,-1.65716436513469,0.602163189133047,-2.75201871359915,0.0059229136198984,0.0637881248063581,-1.17527835623637,-2.80560887854122,-0.918449325581596
SOD3,ENSG00000109610.5,,True,-0.20839129099785,0.86098039198489,-0.242039531838151,0.808749531749545,0.916602178476173,-0.455815106017495,0.868592974906333,-0.524774110758435,0.599740230887605,0.806850123489043,-0.50643887187496,-0.705690553579422,0.306003638735836,0.149342704359484,0.82757966640254,0.180457193938405,0.856793656949758,0.983326919402141,0.139554640141786,0.786339655803939,0.177473740656139,0.859136289733783,0.960986097347105,0.424223981087045,-0.0445806799249882,-0.0618539250125472
SRXN1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
TALDO1,ENSG00000177156.6,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.77188581507947,0.206218950005912,3.74304017675069,0.0001818071459755,0.0034804962587927,0.460727476320068,0.167607226565823,2.74885209761006,0.0059804364960834,0.0498857072705639,0.936914063435294,0.491900912771088,0.867302005134803,0.619912789012458,0.206049975159891,3.00855551441546,0.0026249284035209,0.138473155730878,0.595402631121983,0.166348611279168,3.57924617791231,0.0003445867500176,0.0107550804899292,0.933083353857894,0.670633621173739,0.224740217045552
TKT,ENSG00000163931.11,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.82438251503159,0.253394567099606,3.25335513096276,0.0011405086297089,0.0126847105956162,0.312462725014698,0.174524448159688,1.79036649770007,0.0733950124704404,0.252783799055633,0.831544127158457,0.322120634381328,1.24714904981365,0.688968223755761,0.253319672062716,2.71975807542175,0.0065329693529544,0.203532302934311,0.64355215263489,0.173719151202678,3.70455501411043,0.0002117621470926,0.008129975425769,1.22523253251625,0.520443588019138,0.235196638798888
TXN,ENSG00000136810.8,,True,0.425997900271131,0.197741249811274,2.15431985323096,0.0312150969908439,0.128969562840686,0.362427457729537,0.157989912418897,2.29399113007033,0.0217910082372337,0.116229699508432,0.575532501268199,0.374992722417117,0.324643836502544,0.291383135809471,0.197638355726349,1.47432483304466,0.140394152063848,0.623997190019327,0.287106239430271,0.157503124181521,1.82286059989124,0.0683245066479905,0.291516057610244,0.263049092712551,0.673780381311227,-0.0906258845119225
TXNRD1,ENSG00000198431.11,,True,-0.114210983758528,0.163335253158797,-0.699242702048471,0.48440036830565,0.707745017178652,-0.0060461647682597,0.130433559943901,-0.0463543644048371,0.96302780931413,0.986878817500907,-0.0039063447322682,-0.166272967123689,-0.175791164125412,0.0330471379691479,0.163010870288119,0.202729657910161,0.839346340834493,0.981140261736691,0.0357561598994552,0.129751499972465,0.275574154495655,0.782875162983243,0.933865670751492,0.0362423168367876,0.123757174623265,-0.0615024877081805
TXNRD2,ENSG00000184470.15,,False,1.10389568263957,0.326657913966846,3.37936304445882,0.0007265399642646,0.0092363139447438,0.516741987828438,0.210640560743979,2.45319318370268,0.0141594273228944,0.0873515676840213,0.430968964657712,0.509825819478894,2.11477401734659,0.593935550423374,0.327273810418836,1.81479706446193,0.0695551017059429,0.490379489991688,0.605155851493624,0.20277798168686,2.98432722556701,0.002842026547988,0.0402411175342298,0.575378240087182,0.524428990415724,0.689886775181019
